18732	
	(-0.998012184,0.06302127161)	(-0.9993507723,-0.03602823716)	(-0.9908831343,-0.1347242154)	(-0.9726923594,-0.2320981991)	(-0.9449569463,-0.3271946968)
	(-0.9079490516,-0.4190805648)	(-0.8620318187,-0.506854164)	(-0.8076558149,-0.5896542076)	(-0.7453546102,-0.6666682122)	(-0.675739541,-0.7371404702)
	(-0.599493712,-0.8003794658)	(-0.5173652928,-0.8557646603)	(-0.4301601765,-0.902752581)	(-0.3387340717,-0.9408821545)	(-0.243984106,-0.9697792305)
	(-0.1468400226,-0.9891602538)	(-0.04825505724,-0.9988350462)	(0.05080341557,-0.9987086727)	(0.1493633749,-0.9887823735)	(0.2464576917,-0.9691535514)
	(0.3411336185,-0.940014816)	(0.4324621385,-0.9016520941)	(0.5195470818,-0.8544418235)	(0.601533919,-0.7988472596)	(0.6776181463,-0.7354139296)
	(0.7470531798,-0.6647642789)	(0.8091576815,-0.5875915644)	(0.8633222449,-0.5046530505)	(0.9090153751,-0.4167625797)	(0.9457887037,-0.3247825857)
	(0.9732813889,-0.229615631)	(0.9912236561,-0.1321955506)	(0.999439445,-0.03347828861)	(0.9978481374,0.06556748236)	(0.9864653481,0.163969866)
	(0.9654027719,0.2607632795)	(0.9348670874,0.354997928)	(0.8951579289,0.4457491249)	(0.8466649464,0.5321263652)	(0.7898639819,0.613282064)
	(0.7253124005,0.6884198731)	(-0.6822135274,0.8652338731)	(0.3583220772,-0.3209307644)	(-0.8184065099,-0.01790182581)	(-0.8593513744,0.01489002575)
	(0.6364888088,0.2305857112)	(-0.5273207957,0.4285567618)	(0.4047786919,-0.209734283)	(0.4944198594,-0.1857690042)	(-0.3613933632,-0.4672192962)
	(-0.469240986,0.4913253562)	(0.3115821133,-0.4650750381)	(0.4889416224,-0.5726172778)	(0.4823608211,0.3074428098)	(-0.1313923031,-0.6395122565)
	(0.4105420499,-0.2973540817)	(-0.3691815537,-0.5439274821)	(0.3834644861,-0.5643642719)	(-0.6563378982,-0.1312043938)	(-0.3104177862,0.7988772939)
	(-0.3012211494,0.8369990223)	(0.4580916824,-0.4373829524)	(0.06383844882,-0.3695834945)	(0.112092904,-0.4087944258)	(0.227273516,-0.4416039727)
	(0.2029834574,0.4907111845)	(-0.1144578624,0.7698757252)	(-1.062125249,-0.08520568141)	(0.5355147858,0.2190923278)	(0.2738831963,0.8111671603)
	(-0.1124169048,-0.3216290332)	(0.03450797054,-0.7596299497)	(-0.4906295637,0.1742736921)	(-0.6839078751,-0.32925565)	(-0.3752513359,-0.5637391253)
	(0.2987779909,0.8062173597)	(-0.3059715351,-0.7949779678)	(0.005660171405,0.755068358)	(-0.2376149362,-0.3957679372)	(-0.3610322668,-0.8201366018)
	(0.3527425142,-0.6021370776)	(-0.5281197582,-0.06467032724)	(0.1154774818,0.4617654187)	(-0.1320910728,-0.3248766615)	(0.5571996038,0.09627602725)
	(0.5331203092,0.3368506728)	(-0.5732565151,0.1113798572)	(0.5878599444,0.2311568447)	(-1.045402675,0.28325025)	(0.1899630086,-0.399634808)
	(-0.4023389298,0.5008624734)	(0.6511240788,0.02403300793)	(-0.8485907122,0.09301055973)	(-0.004985466873,-0.3685555696)	(0.08140604437,-0.4131159435)
