18732	
	(2.611298008e-35,-4.84103913e-35)	(-5.568337422e-34,-1.014691834e-34)	(-2.440762025e-34,-9.429284352e-34)	(1.189747076e-34,-9.209272575e-34)	(-6.751419965e-33,-1.405020997e-33)
	(2.257549103e-33,6.369723634e-33)	(-3.604674423e-32,-2.128018631e-32)	(-1.16829929e-31,-2.716561032e-32)	(-1.183495583e-33,-2.613999565e-32)	(-3.457556346e-31,-5.971960301e-33)
	(-5.563814387e-31,-2.750270843e-31)	(5.448610295e-31,-3.100415729e-31)	(-7.406105675e-30,-7.283346087e-32)	(-3.276596666e-29,-1.866337387e-30)	(-2.297978171e-29,5.076051019e-31)
	(2.08334398e-28,6.576986679e-30)	(9.400886416e-29,4.086622512e-29)	(1.89486329e-27,2.011575815e-29)	(-4.089973705e-27,1.55511914e-28)	(3.353825705e-26,8.140310246e-28)
	(-9.253325724e-26,-2.457568519e-27)	(1.496320705e-26,-1.255346864e-26)	(-1.113757126e-24,-5.696791929e-26)	(-7.012716922e-25,-9.621288348e-26)	(-2.629725294e-24,-9.197204814e-26)
	(2.125049779e-24,7.687959104e-26)	(-2.320446158e-24,-1.237533167e-25)	(-9.639518946e-24,-3.777703998e-25)	(2.442333025e-24,-4.812716496e-26)	(-9.389509631e-24,-3.511184001e-25)
	(-1.58372087e-24,-3.155149628e-25)	(-2.381546655e-23,-1.48132991e-24)	(2.974756651e-23,2.525402261e-24)	(6.438377158e-23,2.415368291e-24)	(-1.227075608e-22,-1.080104977e-23)
	(1.339109231e-22,2.213570754e-24)	(-2.085169713e-22,1.728925358e-23)	(1.714125114e-21,8.526120694e-23)	(-1.62017476e-21,-4.751398815e-23)	(7.592107607e-22,1.544810072e-23)
	(-2.561624295e-21,-1.855983188e-22)	(-2.506711945e-21,-1.803777969e-22)	(-3.287700692e-22,-6.677645482e-23)	(-2.62270166e-21,-1.80591917e-22)	(4.032974873e-21,2.759869492e-22)
	(3.85972701e-21,2.740514076e-22)	(-9.623651932e-22,-7.91225286e-23)	(2.736062135e-22,-1.888914339e-24)	(5.50954058e-22,1.82909039e-23)	(-9.734261479e-22,-2.727268659e-23)
	(6.89035925e-22,2.181189696e-23)	(-1.397862089e-22,-6.677841452e-26)	(-7.493083243e-23,-5.83635438e-24)	(-3.0606018e-23,-1.825247302e-24)	(-3.469061211e-24,-8.472347518e-26)
	(-1.260332683e-23,-7.039413164e-25)	(-6.146685358e-24,-4.638272072e-25)	(-5.772511611e-24,-2.700493767e-25)	(4.606601049e-24,1.374809292e-25)	(3.264407682e-26,1.604030086e-26)
	(-2.365553589e-25,-1.915015274e-26)	(-1.285320593e-25,-9.832150535e-27)	(3.996236994e-26,1.855928514e-27)	(6.904044727e-28,2.423259601e-28)	(-3.847622196e-27,-2.275712508e-28)
	(1.139136003e-27,6.982216815e-29)	(-3.242507538e-28,-2.665177919e-29)	(1.553556484e-28,2.816704133e-29)	(1.357144955e-30,6.477397914e-30)	(-3.657971167e-29,-6.359068958e-30)
